CommonName,Latitude,Longitude,ATCOCode,NptgLocalityCode,Town
Shawfair Rail Station,55.91789664757,-3.09022368414,9100SHWFAIR,ES002825,Edinburgh
Shawlands Rail Station,55.82921260303,-4.29234308935,9100SHWLNDS,ES003296,
Shettleston Rail Station,55.85353681053,-4.16004362664,9100SHTLSTN,ES003301,
Shieldmuir Rail Station,55.77749081609,-3.95698985374,9100SHILDMR,ES003883,
Shotts Rail Station,55.81864747349,-3.79831915182,9100SHTT,ES003307,
Singer Rail Station,55.90767164718,-4.40548605311,9100SINGER,ES000746,
Slateford Rail Station,55.9266882388,-3.24345652961,9100SLATEFD,N0078277,
South Gyle Rail Station,55.93635352234,-3.29947615533,9100STHGYLE,N0078276,
Spean Bridge Rail Station,56.89001359791,-4.92160677334,9100SPEANBD,ES003381,
Springburn Rail Station,55.88193710238,-4.23053426289,9100SPRNGBN,ES003388,
Springfield Rail Station,56.29497024224,-3.05244809002,9100SPFD,ES003389,
Stepps Rail Station,55.8901364063,-4.14080753902,9100STEPPS,ES003470,
Stevenston Rail Station,55.6342789413,-4.75078958478,9100STVNSTN,ES003471,
